date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2013:27:08%20GMT	http://www.hoeve-oswald.be/nl	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/nl.0.delayed	(from )
14:27:08	16142/16142	---MCZ	200	added ('OK')	text/html	etag:%221707829228-1%22	https://www.hoeve-oswald.be/nl	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/nl.html	(from )
14:27:08	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-5f9b2b9aa6480%22	https://www.hoeve-oswald.be/robots.txt		(from )
14:27:08	515/515	---M--	200	added ('OK')	image/x-icon	etag:%22203-532904a5f6b00%22	https://www.hoeve-oswald.be/sites/all/themes/anchor/favicon.ico	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/all/themes/anchor/favicon.ico	(from https://www.hoeve-oswald.be/nl)
14:27:08	7587/7587	---M-Z	200	added ('OK')	text/css	etag:%228a9-610990a44f407%22	https://www.hoeve-oswald.be/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	(from https://www.hoeve-oswald.be/nl)
14:27:09	13427/13427	---M-Z	200	added ('OK')	text/css	etag:%22cae-60f2f37c238fe%22	https://www.hoeve-oswald.be/sites/default/files/css/css_r4wXKCmqPtpFIxaqkw2UcMelN9k1-o5Pj4JlNzv6Ugc.css	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/css/css_r4wXKCmqPtpFIxaqkw2UcMelN9k1-o5Pj4JlNzv6Ugc.css	(from https://www.hoeve-oswald.be/nl)
14:27:09	4205/4205	---M-Z	200	added ('OK')	text/css	etag:%22487-610990a452aec%22	https://www.hoeve-oswald.be/sites/default/files/css/css_P_-Uf-MnC4UN1jN6xiTU4rOpFhdaKH90EEwW1Ej72WE.css	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/css/css_P_-Uf-MnC4UN1jN6xiTU4rOpFhdaKH90EEwW1Ej72WE.css	(from https://www.hoeve-oswald.be/nl)
14:27:09	59291/59291	---M-Z	200	added ('OK')	text/css	etag:%222fa2-610990a455da6%22	https://www.hoeve-oswald.be/sites/default/files/css/css_mkSoyijoT-KdszRWExQI9X7CqmX8_Fujw5s7pzuNciA.css	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/css/css_mkSoyijoT-KdszRWExQI9X7CqmX8_Fujw5s7pzuNciA.css	(from https://www.hoeve-oswald.be/nl)
14:27:09	97165/97165	---M-Z	200	added ('OK')	text/javascript	etag:%2283a2-610990a459061%22	https://www.hoeve-oswald.be/sites/default/files/js/js_mOx0WHl6cNZI0fqrVldT0Ay6Zv7VRFDm9LexZoNN_NI.js	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/js/js_mOx0WHl6cNZI0fqrVldT0Ay6Zv7VRFDm9LexZoNN_NI.js	(from https://www.hoeve-oswald.be/nl)
14:27:09	49696/49696	---M-Z	200	added ('OK')	text/javascript	etag:%224133-610489be44375%22	https://www.hoeve-oswald.be/sites/default/files/js/js_uo6tC2eT96vtrr3am7cfMolhvnkfRp4ZMIUvQHN4k4g.js	C:/My%20Web%20Sites/HO/www.hoeve-oswald.be/sites/default/files/js/js_uo6tC2eT96vtrr3am7cfMolhvnkfRp4ZMIUvQHN4k4g.js	(from https://www.hoeve-oswald.be/nl)
